"plot.cn","plot.invyr","plot.manual","plot.prev","plot.county","plot.unit","plot.plot","plot.lat","plot.lon","plot.status","plot.rem","plot.id","cond.cn","cond.invyr","cond.canopy.cover","pct.change"
"220910850010661",2011,5,"102166447010661",85,3,20029,42.453715,-90.276843,1,4.5,"85320029",14176987020004,2011,60,NA
"220910870010661",2011,5,"102166429010661",83,2,20071,39.023507,-90.481346,1,5.3,"83220071",14176800020004,2011,95,NA
"220911120010661",2011,5,"102166090010661",151,1,29014,37.261532,-88.595158,1,5,"151129014",14332751020004,2011,75,NA
"220911164010661",2011,5,"102165997010661",85,3,20109,42.386228,-90.448135,1,4.5,"85320109",14176955020004,2011,65,NA
"220911186010661",2011,5,"102165982010661",1,3,20075,39.852139,-90.979587,1,5.1,"1320075",14172396020004,2011,80,NA
"220911280010661",2011,5,"102165799010661",73,3,20126,41.416886,-90.383568,1,4.8,"73320126",14175409020004,2011,80,NA
"220911324010661",2011,5,"102165706010661",169,3,20044,40.185962,-90.537355,1,5.1,"169320044",14181111020004,2011,65,NA
"220911388010661",2011,5,"102165655010661",95,3,20025,40.923436,-90.134523,1,5.2,"95320025",14177392020004,2011,75,NA
"220911550010661",2011,5,"102165454010661",143,3,20096,40.865139,-89.816845,1,5.5,"143320096",14178740020004,2011,75,NA
"220911646010661",2011,5,"102165268010661",125,3,20058,40.380951,-89.859955,1,5.6,"125320058",14178123020004,2011,70,NA
"220911872010661",2011,5,"102164992010661",129,3,20022,40.085878,-89.62493,1,5.5,"129320022",14178412020004,2011,90,NA
"220912330010661",2011,5,"102164302010661",51,2,20118,38.86295,-89.149187,1,4.9,"51220118",14174204020004,2011,65,NA
"220912458010661",2011,5,"102163987010661",51,2,20095,39.10704,-88.895195,1,4.9,"51220095",14174119020004,2011,80,NA
"220912484010661",2011,5,"102164026010661",121,2,20105,38.492937,-89.109289,1,4.9,"121220105",14177967020004,2011,80,NA
"220912672010661",2011,5,"102163705010661",81,2,20131,38.358364,-88.834015,1,4.8,"81220131",14176749020004,2011,75,NA
"220912700010661",2011,5,"102163747010661",199,1,20009,37.691441,-89.089787,1,4.1,"199120009",14182415020004,2011,75,NA
"220912860010661",2011,5,"102163423010661",79,2,20065,39.13388,-88.224139,1,4.7,"79220065",14176583020004,2011,80,NA
"220912872010661",2011,5,"102163441010661",191,2,20036,38.42723,-88.635476,2,4.9,"191220036",14182170020004,2011,55,NA
"220912880010661",2011,5,"102163453010661",65,1,20042,38.019153,-88.586694,1,4.8,"65120042",14174789020004,2011,85,NA
"220912922010661",2011,5,"102163363010661",127,1,20027,37.25827,-88.738359,1,5.5,"127120027",14178278020004,2011,70,NA
"220912946010661",2011,5,"102163312010661",165,1,20049,37.881053,-88.382463,1,5.3,"165120049",14180947020004,2011,25,NA
"220912982010661",2011,5,"102163189010661",23,2,20017,39.458135,-87.805463,1,5.1,"23220017",14173260020004,2011,75,NA
"220912982010661",2011,5,"102163189010661",23,2,20017,39.458135,-87.805463,1,5.1,"23220017",14173258020004,2011,80,NA
"220913090010661",2011,5,"102163117010661",69,1,29004,37.478496,-88.178425,1,5.2,"69129004",14175014020004,2011,70,NA
"220913096010661",2011,5,"102163126010661",69,1,29008,37.502475,-88.339837,1,5.2,"69129008",14175069020004,2011,80,NA
"220913128010661",2011,5,"102163081010661",159,2,20046,38.5858,-87.955098,1,NA,"159220046",14180695020004,2011,80,NA
"220913172010661",2011,5,"102166498010661",191,2,20031,38.298192,-88.382352,1,5.1,"191220031",14182227020004,2011,80,NA
"220913184010661",2011,5,"102166516010661",87,1,20043,37.550063,-88.798144,1,4.6,"87120043",14177102020004,2011,75,NA
"220913204010661",2011,5,"102166546010661",77,1,20094,37.614427,-89.267833,1,4.9,"77120094",14176416020004,2011,75,NA
"304149618489998",2016,7,"220910930010661",97,3,20055,42.153805,-87.849803,2,5,"97320055",433581731489998,2016,28,NA
"304149619489998",2016,7,"220910850010661",85,3,20029,42.453715,-90.276843,1,5.2,"85320029",433574992489998,2016,25,-58.3333333333333
"304149619489998",2016,7,"220910850010661",85,3,20029,42.453715,-90.276843,1,5.2,"85320029",433574991489998,2016,80,33.3333333333333
"304149623489998",2016,7,"220910870010661",83,2,20071,39.023507,-90.481346,1,4.8,"83220071",433575016489998,2016,90,-5.26315789473684
"304149626489998",2016,7,"220911028010661",163,2,20147,38.601545,-89.995073,2,5,"163220147",433581767489998,2016,1,NA
"304149629489998",2016,7,"220911082010661",25,2,20013,38.65855,-88.408038,2,5,"25220013",433581801489998,2016,3,NA
"304149631489998",2016,7,"220911048010661",89,3,20061,41.860114,-88.334571,2,5,"89320061",433581813489998,2016,4,NA
"304149632489998",2016,7,"220911120010661",151,1,29014,37.261532,-88.595158,1,4.5,"151129014",433575069489998,2016,85,13.3333333333333
"304149634489998",2016,7,"220911164010661",85,3,20109,42.386228,-90.448135,3,5.1,"85320109",433575142489998,2016,75,15.3846153846154
"304149637489998",2016,7,"220911186010661",1,3,20075,39.852139,-90.979587,1,5.1,"1320075",433575163489998,2016,85,6.25
"304149643489998",2016,7,"220911872010661",129,3,20022,40.085878,-89.62493,1,4.5,"129320022",433575207489998,2016,90,0
"304149646489998",2016,7,"220912116010661",5,2,20027,38.920492,-89.550971,3,NA,"5220027",433575263489998,2016,85,NA
"304149652489998",2016,7,"220912044010661",37,3,20016,41.900097,-88.786322,2,5,"37320016",433581941489998,2016,6,NA
"304149656489998",2016,7,"220912188010661",111,3,20201,42.241982,-88.338715,2,5,"111320201",433581981489998,2016,13,NA
"304149657489998",2016,7,"220912232010661",99,3,20169,41.137914,-88.75647,2,5,"99320169",433581987489998,2016,14,NA
"304149662489998",2016,7,"220911324010661",169,3,20044,40.185962,-90.537355,1,5.1,"169320044",433575792489998,2016,70,7.69230769230769
"304149664489998",2016,7,"220911510010661",61,2,29990,39.428378,-90.52245,1,4.9,"61229990",433576072489998,2016,90,NA
