"plot.cn","plot.invyr","plot.manual","plot.lat","plot.lon","plot.nonsample","plot.tree.counts","il.plot.shannon.index"
3226019010661,1998,0,38.25,-89.92,NA,21,1.08710883305803
3226042010661,1998,0,38.22,-90.28,NA,19,1.64899158829448
3226075010661,1998,0,38.17,-90.22,NA,28,2.10657733323212
3226107010661,1998,0,38.14,-90.14,NA,18,2.06206954130016
3173031010661,1998,0,41.44,-89.44,NA,14,1.76719499779167
3173049010661,1998,0,41.42,-89.47,NA,28,1.71360489199697
3189512010661,1998,0,40.5,-90.25,NA,58,2.30131176609391
3189600010661,1998,0,40.47,-90.31,NA,19,1.01600853111358
3189636010661,1998,0,40.53,-90.17,NA,41,2.19344709712487
3189691010661,1998,0,40.47,-90.11,NA,2,0.693147180559945
3189699010661,1998,0,40.47,-90.14,NA,45,1.96278937560271
3189777010661,1998,0,40.47,-90,NA,85,1.39837820121952
3189873010661,1998,0,40.53,-89.92,NA,71,2.01695732714392
3189960010661,1998,0,40.53,-89.97,NA,62,2.27070323922039
3190045010661,1998,0,40.44,-90.36,NA,29,1.52640328045219
3190086010661,1998,0,40.44,-90.36,NA,68,1.833180962808
3190188010661,1998,0,40.39,-90.39,NA,47,2.25300837801951
3190259010661,1998,0,40.42,-90.22,NA,17,1.61001243718572
3190290010661,1998,0,40.42,-90.22,NA,50,2.15943661946995
3181576010661,1998,0,41.69,-87.92,NA,28,1.54535006114478
3181623010661,1998,0,41.72,-87.89,NA,22,1.48358530599761
3181656010661,1998,0,41.69,-87.86,NA,28,1.3614474444521
3175148010661,1998,0,42.11,-90.06,NA,24,2.30109187384736
3175176010661,1998,0,42.17,-89.94,NA,21,1.57144636372213
3175202010661,1998,0,42.17,-89.97,NA,34,0.909493046476615
3175244010661,1998,0,42.19,-89.83,NA,6,0.450561208866305
3175274010661,1998,0,42.08,-90.14,NA,30,0.904898858708481
3172935010661,1998,0,41.44,-89.53,NA,62,2.17604037145555
3175426010661,1998,0,40.08,-90.33,NA,36,0.613432901559085
3175479010661,1998,0,40.06,-90.08,NA,22,1.55260476179692
3211107010661,1998,0,40.83,-90.03,NA,9,1.14905969697062
3190369010661,1998,0,40.42,-90.06,NA,19,2.02804676777597
3190402010661,1998,0,40.44,-89.94,NA,26,0.692421156697187
3190442010661,1998,0,40.31,-90.36,NA,28,0.999302168985498
